Tests,Points,OutOf,Notes
24_ForEach_Multi_Thread_Insert,4,4,
23_ForEach_Multi_Thread_Delete_Break,4,4,
22_ForEach_Multi_Thread_Delete,0,4,['The test timed out.']
21_ForEachApply_Multi_Thread,2,2,
20_ForEachApply_Multi_Thread_Failure,2,2,
19_ForEachApply_Single_Thread_Failure,2,2,
18_ForEachApply_Multi_Thread,2,2,
17_ForEachApply_Single_Thread,2,2,
16_ForEachBreak_Multi_Thread,1,1,
15_ForEachBreak_Single_Thread,1,1,
14_ForEachIndex_Single_Thread_Uninitialized,1,1,
13_ForEachIndex_Multi_Thread,0,2,['The test crashed.']
12_ForEachIndex_Single_Thread,0,2,['12_test.c:34: Incorrect index - Expected: 2 Received: 1']
11_ForEachNext_Multi_Thread_EOL_Update,2,2,
10_ForEachNext_Single_Thread_EOL_No_Update,2,2,
09_ForEachNext_Multi_Thread_Next_Item_No_Update,2,2,
08_ForEachNext_Single_Thread_Next_Item_No_Update,2,2,
07_ForEachNext_Multi_Thread_EOL_Update,0,2,['The test crashed.']
06_ForEachNext_Single_Thread_EOL_Update,0,2,['06_test.c:32: Expected data update - Expected: 10 Received: 1']
05_ForEachNext_Multi_Thread_Next_Item_Update,0,2,"['05_test.c:25: THREAD[7]: Next failure - Expected: NON-NULL Received: NULL', '05_test.c:25: THREAD[6]: Next failure - Expected: NON-NULL Received: NULL', '05_test.c:25: THREAD[3]: Next failure - Expected: NON-NULL Received: NULL', '05_test.c:25: THREAD[1]: Next failure - Expected: NON-NULL Received: NULL', '05_test.c:25: THREAD[2]: Next failure - Expected: NON-NULL Received: NULL']"
04_ForEachNext_Single_Thread_Next_Item_Update,0,2,['04_test.c:29: Next failure - Expected: NON-NULL Received: NULL']
03_ForEachInit_Multi_Thread_Barrier_Populated_List,2,2,
02_ForEachInit_Multi_Thread_Populated_List,2,2,
01_ForEachInit_Single_Thread_Populated_List,1,1,
19_al_resize_list_smaller,2,2,
18_al_resize_list_larger,2,2,
17_al_mt_insert_delete_II,4,4,
16_al_mt_insert_delete_II,4,4,
15_al_mt_insert_delete_I,4,4,
14_al_mt_alphabet_insert,4,4,
13_al_mt_single_insert,4,4,
12_al_delete_stress_test,4,4,
11_al_insert_stress_test,4,4,
10_al_remove_first,2,2,
09_al_remove_null,2,2,
08_al_get_null_data,2,2,
07_al_get_invalid_data,2,2,
06_al_get_invalid,2,2,
05_al_delete_data,2,2,
04_al_retrieve_data,2,2,
03_al_insert_invalid,1,1,
02_al_insert_valid,2,2,
01_al_init,1,1,
Total,84,100,
